,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
1074,General Motors,4.4,(670 Reviews),Private,"Detroit,Michigan + 26 more",26 years old,5k-10k Employees (India)
1075,IFFCO,4.0,(1.5k Reviews),Private,"Delhi/NCR,Delhi + 60 more",55 years old,1k-5k Employees (India)
1076,Quikr,3.8,(616 Reviews),Private,"Bangalore,Karnataka + 21 more",14 years old,1k-5k Employees (India)
1077,Dodsal Engineeri...,4.3,(455 Reviews),Conglomerate,"Dubai,Dubai + 30 more",39 years old,501-1k Employees (India)
1078,Future Lifestyle...,4.2,(454 Reviews),Public,"Mumbai,Maharashtra + 52 more",10 years old,5k-10k Employees (India)
1079,Future Lifestyle...,4.2,(454 Reviews),Public,"Mumbai,Maharashtra + 52 more",10 years old,5k-10k Employees (India)
1080,Page Industries,4.5,(454 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 53 more",28 years old,10k-50k Employees (India)
1081,Goldman Sachs,3.9,(519 Reviews),Private,"New York,New York + 10 more",19 years old,10k-50k Employees (India)
1082,Moser Baer,4.0,(457 Reviews),Public,"Delhi/NCR,Delhi + 14 more",39 years old,1k-5k Employees (India)
1083,Kutumbh Care,4.0,(453 Reviews),Private,"Noida,Uttar Pradesh + 115 more",15 years old,5k-10k Employees (India)
1084,Timken,4.1,(453 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 27 more",24 years old,1k-5k Employees (India)
1085,Power Grid Corpo...,4.6,(453 Reviews),Private,"Gurgaon/Gurugram,Haryana + 123 more",33 years old,5k-10k Employees (India)
1086,National Health ...,3.8,(452 Reviews),Private,"Guwahati,Assam + 150 more",17 years old,1 Lakh+ Employees (India)
1087,CSB Bank,3.4,(452 Reviews),Private,"Thrissur/Trichur,Kerala + 95 more",102 years old,1k-5k Employees (India)
1088,CarDekho,3.7,(451 Reviews),Private,"Jaipur,Rajasthan + 46 more",14 years old,1k-5k Employees (India)
1089,Vivanta by Taj,4.3,(451 Reviews),Private,"Gurgaon/Gurugram,Haryana + 36 more",12 years old,1k-5k Employees (India)
1090,Jaya Hind Indust...,3.7,(515 Reviews),Public,"Pune,Maharashtra + 14 more",75 years old,1k-5k Employees (India)
1091,Chennai Radha En...,4.0,(450 Reviews),Private,"Chennai,Tamil Nadu + 33 more",17 years old,5k-10k Employees (India)
1092,Kalpataru Group,3.7,(450 Reviews),Private,"Mumbai,Maharashtra + 43 more",53 years old,1k-5k Employees (India)
1093,Leadec,3.8,(449 Reviews),Private,Stuttgart + 38 more,60 years old,501-1k Employees (India)
